주종,주류명,생산국가,용량,도수,특징
위스키,글렌피딕15년,영국,700      ,40,"배 맛이 감도는 신선하고 상쾌한 향이 특징임 전 세계 싱글 몰트 위스키 마켓의 리더로서 시장을 이끌어 나가고 있는 글렌피딕은 골짜기를 뜻하는 ‘글렌’과 사슴을 뜻하는 ‘피딕’의 합성어로, 1887년 크리스마스에 스코틀랜드 스페이사이드 지역에 위치한 글렌피딕 증류소에서 탄생하였다. 최고의 위스키를 제조하고자 했던 설립자 윌리엄 그랜트의 꿈이 이루어 낸 글렌피딕은 1887년 첫 증류 이래로 지금까지 전통적인 생산 방식을 고수하고 있다.원액 숙성 통인 오크 통을 만드는 제작 기술자부터 증류, 숙성, 병입의 전 과정을 책임지는 몰트 마스터까지 수십 명의 전문가들이 장인 정신에 입각하여 전통적인 방식으로 글렌피딕을 생산하고 있다. 청정수인 ‘로비듀’와 선별된 최고급 맥아는 다른 위스키에서는 느낄 수 없는 풍부하고 개성 있는 맛과 향을 창조해 낸다. 이러한 노력들로 글렌피딕은 현재 전 세계 200여 개 국가에서 가장 사랑받는 싱글 몰트 위스키로 자리 잡았다,스페인 셰리통,아메리카버번통 , 새 오크통등 세가지 다른 형태의 오크통에서 15년 이상 숙성된 원액들을 솔레라 배트(Solera Vat)라 불리는 큰 오크통에 담아 두었다가 일정 시간이 지나면 오크통 아래쪽 절반 가량의 위스키를 솔레라 툰(Solera Tun) 이라 불리는 오크통으로 다시 옯겨 담은 후 재 숙성 과정을 병입 합니다, 이런 독특한 숙성방법을 통하여 글렌피딕 15년만의 부드럽고 달콤한 위스키가 완성 됩니다. 진한 과일향과 함께 달콤한 바닐라 맛이 특징입니다."
위스키,글렌피딕18년,영국,700,40,"배 맛이 감도는 신선하고 상쾌한 향이 특징임 전 세계 싱글 몰트 위스키 마켓의 리더로서 시장을 이끌어 나가고 있는 글렌피딕은 골짜기를 뜻하는 ‘글렌’과 사슴을 뜻하는 ‘피딕’의 합성어로, 1887년 크리스마스에 스코틀랜드 스페이사이드 지역에 위치한 글렌피딕 증류소에서 탄생하였다. 최고의 위스키를 제조하고자 했던 설립자 윌리엄 그랜트의 꿈이 이루어 낸 글렌피딕은 1887년 첫 증류 이래로 지금까지 전통적인 생산 방식을 고수하고 있다.   원액 숙성 통인 오크 통을 만드는 제작 기술자부터 증류, 숙성, 병입의 전 과정을 책임지는 몰트 마스터까지 수십 명의 전문가들이 장인 정신에 입각하여 전통적인 방식으로 글렌피딕을 생산하고 있다. 청정수인 ‘로비듀’와 선별된 최고급 맥아는 다른 위스키에서는 느낄 수 없는 풍부하고 개성 있는 맛과 향을 창조해 낸다. 이러한 노력들로 글렌피딕은 현재 전 세계 200여 개 국가에서 가장 사랑받는 싱글 몰트 위스키로 자리 잡았다.위스키 전문가들을 위해 만들어진 귀한 싱글몰트 스카치 위스키 글렌피딕 18년산은 장기간 숙성을 통하여 셰리우드의 달콤함이 전통적인 오크 향과 함께 완벽하게 조화를 이룹니다. 은은한 사과향이 혀 끝을 돌아 온 입안에 퍼지는 상쾌함을 느낄 수 있읍니다."
위스키,글렌피딕21년,영국,700      ,40      ,"별도배 맛이 감도는 신선하고 상쾌한 향이 특징임 전 세계 싱글 몰트 위스키 마켓의 리더로서 시장을 이끌어 나가고 있는 글렌피딕은 골짜기를 뜻하는 ‘글렌’과 사슴을 뜻하는 ‘피딕’의 합성어로, 1887년 크리스마스에 스코틀랜드 스페이사이드 지역에 위치한 글렌피딕 증류소에서 탄생하였다. 최고의 위스키를 제조하고자 했던 설립자 윌리엄 그랜트의 꿈이 이루어 낸 글렌피딕은 1887년 첫 증류 이래로 지금까지 전통적인 생산 방식을 고수하고 있다.원액 숙성 통인 오크 통을 만드는 제작 기술자부터 증류, 숙성, 병입의 전 과정을 책임지는 몰트 마스터까지 수십 명의 전문가들이 장인 정신에 입각하여 전통적인 방식으로 글렌피딕을 생산하고 있다. 청정수인 ‘로비듀’와 선별된 최고급 맥아는 다른 위스키에서는 느낄 수 없는 풍부하고 개성 있는 맛과 향을 창조해 낸다. 이러한 노력들로 글렌피딕은 현재 전 세계 200여 개 국가에서 가장 사랑받는 싱글 몰트 위스키로 자리 잡았다.Glenfiddich(글렌피딕)은 Malt Whisky로 Glenfiddich 12, 15,18,21,23,26, 30년 산이 있으며,  글렌피딕(Glenfiddich)은 겔트어로 사슴이 있는 계곡이란 뜻으로, 산뜻하고 남성적인 맛을 풍기면서도 부드러운 것이 특징이다."
위스키,글렌피딕23년,영국,700      ,40      ,글렌피딕23년 그랑크루산직:영국용량:700ml알콜도수:40% Glenfiddich 23년산 GRAND CRU 싱글 몰트 스카치 위스키는 검은색과 금색의 빛나는 조합으로 빛을 발합니다.  검은색 유리 병은 더욱 고급스럽고 신비롭게 보인다. 이 글렌피딕은 아메리칸 오크 캐스크에서 23년 동안 숙성되었습니다.
위스키,글렌피딕26년,영국,700      ,43      ,글렌피딕그랑코쿤26년 용량:700ml산지:영국알콜도수:43%
위스키,글렌피딕30년,영국,700      ,46      ,"가글렌피딕 타임시리즈 50년,40년,30년  컬렉션  글렌피딕 타임시리즈 각기 다른 시간속의 순간을 담은 글렌피딕타임시리즈50년,글렌피딕타임시리즈40년,글렌피딕타임시리즈30년 3종으로 구성되어 있는 컬렉션 입니다"
위스키,글렌피딕오차드,영국,700      ,43      ,
위스키,납크릭 품절,미국,750      ,50      ,납 크릭'이란 캔터키 힐에 있는 작은 시내의 이름이며 켄터키 출신의 제 16대 대통령 '링컨'이 어린시절을 보낸 지방으로 이 강력한 버번에게 미국의 가장 위대한 대통령이 자란 땅의 이름 '납 크릭'을 붙였습니다.
위스키,납크릭라이,미국,750      ,50      ,
위스키,네이키드 그라우스,영국,700      ,40      ,"색: Deep, amber glow향: Black cherries, cocoa powder and oak wood 맛: Sweet, resinous, dried fruits, Spicy cinnamon sticks and nutmeg 피니쉬: Dark chocolate with lingering spiciness, medium sweet"
위스키,노아스밀,미국,750      ,57.15      ,
