주종,주류명,생산국가,용량,도수,특징
위스키,글렌그란트 16년,영국,700,43,"위스키를 생산하는 최고의 지역으로는 단연 스코틀랜드의 스페이사이드(Spe yside)를 꼽을 수 있다. 하일랜드 동북쪽에 자리 잡은 스페이사이드는 깨끗한 물과 비옥한 토양, 자연친화적인 주변 환경 등 위스키 생산을 위한 최상의 요건을 갖추고 있어 스코틀랜드 몰트 위스키 증류소의 핵심 지역으로 자리 잡았다. 스코틀랜드의 정원’이라 불리는 스페이사이드에는 170년의 역사를 자랑하는 싱글 몰트 위스키 명가, 글렌 그란트(Glen Grant)가 있다. 글렌 그란트만의 독창적인 맛과 향은 맥아를 건조할 때 피트(이탄)를 태워 훈연하는 과정을 생략해 얻는다. 일반적으로 피트를 사용해 훈연하면 진한 스모키함이 묵직하게 느껴지는데 글렌 그란트는 향긋한 과일향과 상쾌한 맛을 유지하기 위해 이 단계를 생략하는 것. 또한 다른 증류소보다 긴 증류기를 사용하고 직접 개발한 여과기에 2번에 걸친 필터링을 통해 차별화된 위스키 원액을 얻어 목 넘김이 부드럽고 순수한 느낌이 풍부한 최상의 글렌 그란트를 완성한다"
위스키,글렌그란트 18년,스코틀랜드 스페이사이드,700,43,
위스키,글렌그란트15년,영국,700,43,
위스키,글렌글라사 에볼루션,영국,700,50,
위스키,글렌글라사리바이벌,영국,700,46,
위스키,글렌글라사토파,영국,700,50,
위스키,글렌도워 블랜디드,영국,700,40,
위스키,글렌드로냑 피티드,영국,700,43,
위스키,글렌드로냑12년,영국,700,43,
위스키,글렌드로냑18년,영국,700,46,
위스키,글렌드로냑21년,영국,700,48,
위스키,글렌드로냑킹스맨,영국,700,48.2,
위스키,글렌로티스 12년,영국,700,40,"12 year old single malt from the Glenrothes distillery, released as part of the Soleo Collection. This range takes its name from the process of sun-drying grapes in Jerez for sherry production, so it shouldn't come as a surprise that sherried deliciousness is a focus here. Also noteworthy is the lack of vintage on the label, with Glenrothes decides to eschew them in favour of age statements for the majority of the series."
위스키,글렌로티스 18년,영국,700,43,
