,당도,바디,산도,타닌
318,1,3,4,4
319,1,3,3,4
320,1,3,5,4
321,1,4,3,3
322,1,3,5,5
323,1,3,5,5
324,1,3,5,5
325,1,4,4,1
326,1,3,5,5
327,1,3,3,1
328,1,3,5,5
329,1,3,5,4
330,1,3,4,1
331,2,5,3,1
332,1,4,4,4
333,1,3,2,1
334,1,3,4,3
335,1,4,4,3
336,1,3,2,1
337,1,4,3,3
338,1,4,3,1
339,1,3,3,1
340,1,4,3,1
341,1,4,3,3
342,1,5,2,1
343,1,3,4,1
344,1,4,3,3
345,1,3,2,1
346,3,3,2,1
347,1,3,3,2
348,1,3,3,1
349,1,3,4,4
350,1,3,3,2
351,1,4,2,1
352,2,4,3,1
353,1,5,3,1
354,1,3,3,1
355,1,5,3,1
356,1,5,3,1
357,1,4,2,1
358,4,2,2,2
359,4,2,3,1
360,1,3,4,3
361,1,3,3,2
362,1,3,3,1
363,1,3,4,4
364,1,4,3,3
365,1,4,3,1
366,1,3,3,2
367,1,4,4,4
368,1,5,2,1
369,1,4,5,4
370,1,5,2,1
371,1,3,4,4
372,1,4,3,3
373,1,4,5,5
374,1,2,5,5
375,5,3,5,1
376,5,3,5,1
377,1,4,3,3
378,3,2,2,1
379,1,4,2,2
380,1,4,3,1
381,1,3,4,1
382,1,4,3,2
383,1,3,3,1
384,1,3,4,4
385,1,4,4,3
386,1,3,4,3
387,1,3,4,4
388,1,3,3,3
389,1,4,3,4
390,1,4,2,1
391,1,4,5,4
392,1,0,3,2
393,1,3,4,3
394,1,3,3,2
395,1,4,2,1
396,1,3,4,5
397,1,4,1,1
398,1,4,1,1
399,1,4,1,1
400,2,3,3,1
401,2,3,2,1
402,1,4,3,3
403,1,3,3,1
404,1,4,3,3
405,1,3,4,4
406,1,4,4,4
407,1,3,3,1
408,1,4,4,5
409,1,3,3,2
