,당도,바디,산도,타닌
319,1,3,4,4
320,1,3,3,4
321,1,3,5,4
322,1,4,3,3
323,1,3,5,5
324,1,3,5,5
325,1,3,5,5
326,1,4,4,1
327,1,3,5,5
328,1,3,3,1
329,1,3,5,5
330,1,3,5,4
331,1,3,4,1
332,2,5,3,1
333,1,4,4,4
334,1,3,2,1
335,1,3,4,3
336,1,4,4,3
337,1,3,2,1
338,1,4,3,3
339,1,4,3,1
340,1,3,3,1
341,1,4,3,1
342,1,4,3,3
343,1,5,2,1
344,1,3,4,1
345,1,4,3,3
346,1,3,2,1
347,3,3,2,1
348,1,3,3,2
349,1,3,3,1
350,1,3,4,4
351,1,3,3,2
352,1,4,2,1
353,2,4,3,1
354,1,5,3,1
355,1,3,3,1
356,1,5,3,1
357,1,5,3,1
358,1,4,2,1
359,4,2,2,2
360,4,2,3,1
361,1,3,4,3
362,1,3,3,2
363,1,3,3,1
364,1,3,4,4
365,1,4,3,3
366,1,4,3,1
367,1,3,3,2
368,1,4,4,4
369,1,5,2,1
370,1,4,5,4
371,1,5,2,1
372,1,3,4,4
373,1,4,3,3
374,1,4,5,5
375,1,2,5,5
376,5,3,5,1
377,5,3,5,1
378,1,4,3,3
379,3,2,2,1
380,1,4,2,2
381,1,4,3,1
382,1,3,4,1
383,1,4,3,2
384,1,3,3,1
385,1,3,4,4
386,1,4,4,3
387,1,3,4,3
388,1,3,4,4
389,1,3,3,3
390,1,4,3,4
391,1,4,2,1
392,1,4,5,4
393,1,0,3,2
394,1,3,4,3
395,1,3,3,2
396,1,4,2,1
397,1,3,4,5
398,1,4,1,1
399,1,4,1,1
400,1,4,1,1
