,주종,상품명,생산국가,제조사,주원료,용량,도수
254,전통주,구기홍주 14,대한민국,두이술공방,"국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수","360ml, 750ml",14
255,전통주,겨울소주 25,대한민국,두이술공방,"국내산 쌀, 증류원액, 효모, 효소, 정제수",360ml,25
256,전통주,걍즐겨,대한민국,디오케이브루어리,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스",600ml,8
257,전통주,대장부23,대한민국,롯데칠성음료,"정제수, 쌀, 효모, 종국, 보리",375ml,23
258,전통주,설하담,대한민국,리큐랩주식회사,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소","950ml, 475ml",8
259,전통주,솜솜 막걸리,대한민국,마깨주,"쌀, 누룩, 물",375ml,8
260,전통주,문삼이공(moon320) 잣 주,대한민국,마마스팜,"찹쌀19.02%, 멥쌀13.16%, 누룩3.3%, 잣1.02%, 정제수63.5%",500ml,12
261,전통주,백년친구 쌀막걸리,대한민국,만수주조(영농조합법인),"백미, 소맥분",750ml,6
262,전통주,백년친구 풍기홍삼막걸리,대한민국,만수주조(영농조합법인),"국내산 쌀, 홍삼","750ml, 900ml",6
263,전통주,진맥 소주,대한민국,맹개술도가,통밀 소주원액,200ml,40
264,전통주,메들리손막걸리,대한민국,메들리 주식회사,"쌀, 누룩",375ml,8
265,전통주,메들리아카시아,대한민국,메들리 주식회사,"꿀, 물, 효모",375ml,7
266,전통주,면천두견주 700,대한민국,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃",700ml,18
267,전통주,면천두견주 360,대한민국,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃",360ml,18
268,전통주,매실향기 담은 술,대한민국,명세주가,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",500ml,14
269,전통주,명인 안동소주 22%,대한민국,명인안동소주,"쌀(국내산), 누룩, 정제수",360ml,22
270,전통주,명인 안동소주 하회탈,대한민국,명인안동소주,국내산 쌀 100%,800ml,45
271,전통주,명인 안동소주,대한민국,명인안동소주,국내산 쌀 100%,800ml,45
272,전통주,명인 안동소주 양반탈,대한민국,명인안동소주,"국내산 쌀, 누룩, 정제수",800ml,45
273,전통주,대천바다 금빛,대한민국,명주도가,"찹쌀, 밀, 누룩",300ml,16
274,전통주,느낌 30,대한민국,명품 안동소주,"국내산 백미, 누룩, 효모, 정제수",360ml,30
275,전통주,느낌 19.8,대한민국,명품 안동소주,"국내산 백미, 누룩, 효모, 정제수",360ml,19.8
276,전통주,각시탈,대한민국,명품안동소주,"쌀증류원액(쌀: 국내산), 정제수, 발효주정",200ml,45
277,전통주,모월 청,대한민국,모월,"쌀(국내산), 누룩, 정제수",500ml,16
278,전통주,모월 연,대한민국,모월,"국내산 쌀, 밀누룩(국산)",500ml,13
279,전통주,모월 인,대한민국,모월,"국내산 쌀, 정제수, 밀누룩",500ml,41
280,전통주,모월 로,대한민국,모월,"쌀(국내산), 누룩, 정제수",500ml,25
281,전통주,모월로미니,대한민국,모월,"쌀(국내산), 누룩, 정제수",150ml,25
282,전통주,모월인미니,대한민국,모월,"쌀(국내산), 누룩, 정제수",150ml,41
283,전통주,소풍,대한민국,몬스터빌리지,"정제수, 쌀(국내산산청메뚜기쌀), 입국, 에리스리톨, 포도당, 효소처리 스테비아, 혼잡제제(효모, 유당, 넥스트린), 효소제, 탄산칼슘, 우유",750ml,5.5
284,전통주,설레 7도,대한민국,몬스터빌리지,"정제수, 쌀(국내산산청메뚜기쌀), 국, 효모, 밀함유",750ml,7
285,전통주,맑은 문희주,대한민국,문경주조,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수",750ml,13
286,전통주,오희 스파클링 막걸리,대한민국,문경주조,"백미, 건오미자, 조효소제, 효모, 정제수",500ml,8.5
287,전통주,구름을 벗삼아,대한민국,문경주조,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",750ml,12
288,전통주,오미자 생막걸리,대한민국,문경주조,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",750ml,6.5
289,전통주,문희 탁주,대한민국,문경주조,국내산 쌀,700ml,13
290,전통주,오미로제 스파클링 와인,대한민국,문경주조,국내산 오미자,750ml,12
291,전통주,호산춘,대한민국,문경호산춘,"멥쌀(국내산), 찹쌀(국내산), 정재수, 누룩, 솔잎, 밀(곡류)함유",700ml,18
292,전통주,문배술,대한민국,문배주양조원,"국내산 찰수수, 국내산 메조","500ml, 1000ml",40
293,전통주,문배술 헤리티지 40도,대한민국,문배주양조원,"메조, 찰수수, 쌀",200ml,40
294,전통주,문배술 헤리티지 25도,대한민국,문배주양조원,"메조, 찰수수, 쌀",375ml,25
295,전통주,경산대추약주 추,대한민국,미송주가,"찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)",375ml,16
296,전통주,민속주 안동소주,대한민국,민속주안동소주,"국내산 쌀, 누룩, 정제수",400ml,45
297,전통주,가야곡왕주,대한민국,민속주왕주,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",750ml,13
298,전통주,소호,대한민국,밝은세상영농조합,"평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎","350ml, 750ml",36.5
299,전통주,호랑이배꼽,대한민국,밝은세상영농조합,"평택 쌀(현미 40%, 백미 60%), 누룩, 정제수, 정백당","350ml, 750ml",6.5
300,전통주,도문대작 생막걸리,대한민국,방풍도가,"강릉 쌀, 누룩, 갯방풍나물, 정제수",750ml,10
301,전통주,김천 배금도가,대한민국,배금도가,"찹쌀, 멥쌀, 누룩",500ml,12
302,전통주,주교주,대한민국,배다리도가,"쌀(국내산), 누룩, 정제수, 정제효소, 효모",500ml,16
303,전통주,가와지탁주,대한민국,배다리도가,"효모, 입국, 가와지쌀",500ml,7.5
304,전통주,아띠,대한민국,배상면주가,쌀(국내산),450ml,6
305,전통주,심술 10,대한민국,배상면주가,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",330ml,10
306,전통주,심술 7,대한민국,배상면주가,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",330ml,7
307,전통주,심술6 막걸리,대한민국,배상면주가,"쌀(국내산), 국(입국), 건조효모, 아세설팜칼륨, 아스파탐",500ml,6
308,전통주,오매락퍽,대한민국,배상면주가,국내산 배증류원액,500ml,40
309,전통주,오매락,대한민국,배상면주가,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)",500ml,40
310,전통주,민들레대포,대한민국,배상면주가,"쌀, 누룩, 민들레",330ml,13
311,전통주,느린마을 막걸리,대한민국,배상면주가,"쌀, 국, 효모, 정제수",750ml,6
312,전통주,감아락 25,대한민국,배상면주가,"국내산 쌀, 감증류원액",500ml,25
313,전통주,느린마을소주21,대한민국,배상면주가,"쌀, 정제수, 입국, 조효소제, 건조효모",375ml,21
314,전통주,복분자음,대한민국,배상면주가,"복분자(국내산), 정제수",375ml,12
315,전통주,빙탄복,대한민국,배상면주가,복분자,370ml,7
316,전통주,복분자아락40,대한민국,배상면주가,"복분자증류원액(국내산), 정제수",500ml,40
317,전통주,오디아락40,대한민국,배상면주가,오디증류주원액,500ml,40
318,전통주,느린마을 증류주,대한민국,배상면주가,쌀(국내산),360ml,16.9
319,전통주,심술 알쓰,대한민국,배상면주가,복분자,180ml,3.8
320,전통주,느린마을 약주,대한민국,배상면주가,"정제수, 쌀(국내산), 기타과당, 설탕, 국[곡자(밀), 조효소제(밀), 정제효소제], 젖산, 건조효모",700ml,12
321,전통주,우곡생주,대한민국,배혜정도가,"국내산 쌀, 누룩, 효모, 정제수",750ml,10
322,전통주,호두땅콩막걸리,대한민국,배혜정도가,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",750ml,6
323,전통주,메로니아,대한민국,배혜정도가,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",750ml,4
324,전통주,호랑이 생 막걸리,대한민국,배혜정도가,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",750ml,6
325,전통주,메로니아,대한민국,배혜정도가,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등",750ml,4
326,전통주,매실탁테일,대한민국,배혜정도가,"국내산 백미, 매실천연과즙",375ml,7
327,전통주,이담,대한민국,배혜정도가,"국내산 쌀, 국내산 배",700ml,55
328,전통주,로아40 옐로우,대한민국,배혜정도가,"쌀(국산), 배(국산)",350ml,40
329,전통주,우곡주,대한민국,배혜정도가,쌀,375ml,13
330,전통주,매화마름 호랑이 막걸리,대한민국,배혜정도가,쌀,375ml,7
331,전통주,부자 송산포도,대한민국,배혜정도가,"쌀, 누룩, 포도즙",375ml,9
332,전통주,부자,대한민국,배혜정도가,"쌀, 정제수, 고과당, 효모 등","375ml, 300ml, 300ml",10
333,전통주,배도가 로아 40도 옐로우,대한민국,배혜정도가,"국내산 쌀, 국내산 배",350ml,40
334,전통주,로아40 레드,대한민국,배혜정도가,사과소주원액,350ml,40
335,전통주,배도가 심플리 애플,대한민국,배혜정도가,"정제수, 사과즙(국산), 쌀(국산), 벌꿀(국산), 천연향료(사과향), 구연산, 국, 효모, 비타민C, 밀함유",350ml,12
336,전통주,매화마름,대한민국,배혜정도가,"물, 유기농 갈색설탕(필리핀산), 유기농쌀(국내삼), 국, 효모, 산도조절제, 잔탄검(밀함유)",375ml,14
337,전통주,로아19레드,대한민국,배혜정도가,"사과소주원액(사과(국내산), 설탕, 효모, 메타중아황산칼륨(산화방지제), 셀룰라아제), 정제수",350ml,19
338,전통주,로아19옐로우,대한민국,배혜정도가,"배소주원액(배(국내산), 쌀(국내산), 물, 효모, 국, 젖산), 물",350ml,19
339,전통주,로아40퍼플,대한민국,배혜정도가,"포도소주원액(포도(국내산), 효모, 설탕, 메타중아황산칼륨(산화방지제), 정제수",350ml,40
340,전통주,로아19화이트,대한민국,배혜정도가,"물, 쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",350ml,19
341,전통주,로아40화이트,대한민국,배혜정도가,"쌀소주원액(쌀(국내산), 물, 국, 효모, 젖산), 물, 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",350ml,40
342,전통주,생 옥수수 동동주,대한민국,배혜정도가,"쌀, 옥수수분말, 물엿, 국, 효모, 젖산, 치자분말추출물, 아스파탐, 구연산, 효소처리 스테미아 밀함유",750ml,6
343,전통주,매실 막걸리,대한민국,백운주가,"쌀, 매실과즙",750ml,7
344,전통주,백운 복분자 와인,대한민국,백운주가,"쌀, 토종 복분자과즙",360ml,11
345,전통주,백운복분자주,대한민국,백운주가,"국내산 쌀, 국내산 복분자",360ml,13
346,전통주,매화깊은밤,대한민국,백제명가주조,"쌀(국산), 매실(국산), 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",375ml,8
347,전통주,보리수헤는밤,대한민국,백제명가주조,"쌀(국산), 보리수(국산), 매실(국산), 홍국쌀, 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",375ml,8
348,전통주,청량주,대한민국,법전양조장,"백미, 누룩, 종국, 효모",750ml,6
349,전통주,라이스퐁당,대한민국,벗드림양조장,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",500ml,13
350,전통주,볼빨간막걸리 7,대한민국,벗드림양조장,"정제수, 찹쌀, 누룩",500ml,7
351,전통주,관악산생막걸리,대한민국,별네트웍스 과천도가,"정제수, 멥쌀(국내산), 국, 효모, 밀함유",1000ml,6
352,전통주,병영설성 생막걸리,대한민국,병영양조장,"쌀(국내산), 효모, 누룩, 정제수",750ml,6
353,전통주,병영설성 동동주,대한민국,병영양조장,"쌀(국내산), 전분, 효모, 누룩, 정제수",1700ml,6
354,전통주,병영소주,대한민국,병영양조장,"정제수, 보리증류식 소주원액(보리: 국내산)",700ml,40
355,전통주,설성 만월 막걸리,대한민국,병영주조장,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",750ml,6
356,전통주,병영설성사또,대한민국,병영주조장,"국내산 쌀, 국내산 오디, 국내산 복분자",750ml,40
357,전통주,청세주,대한민국,병영주조장,국내산 쌀,375ml,18
358,전통주,보석막걸리,대한민국,보석양조장,"정제수, 쌀(국내산), 국, 효모",500ml,12
359,전통주,보성 강하주,대한민국,보성강하주,국내산 찹쌀100%,350ml,15
360,전통주,복순도가 탁주,대한민국,복순도가,"정제수, 쌀(국산), 곡자(밀), 밀함유",935ml,10
361,전통주,복순도가 손막걸리,대한민국,복순도가,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",935ml,6.5
362,전통주,복순도가 약주,대한민국,복순도가,"정제수, 쌀(국산), 곡자(밀)",750ml,10
363,전통주,빨간쌀막걸리,대한민국,복순도가,"쌀(국산), 곡자(밀), 정제수, 홍국쌀",935ml,6.5
364,전통주,복순도가 과하주,대한민국,복순도가,"쌀(국산), 곡자(밀), 정제수",750ml,15
365,전통주,복순도가 슈퍼드라이,대한민국,복순도가,"정제수, 쌀(국산), 곡자(밀)",935ml,6.5
366,전통주,백수환동주,대한민국,봇뜰,"쌀, 정제수, 누룩",375ml,12
367,전통주,봇뜰 막걸리 10도,대한민국,봇뜰,"쌀, 정제수, 누룩, 밀 함유",750ml,10
368,전통주,불로생우리쌀막걸리,대한민국,불로생우리쌀막걸리,국내산 쌀,750ml,6
369,전통주,포항불로주,대한민국,불로주,국내산 쌀,"35-750ml, 45-800ml",35
370,전통주,시나브로 레드 드라이,대한민국,불휘농장,캠벨얼리,750ml,12
371,전통주,시나브로 청수 화이트,대한민국,불휘농장,청수 100%,750ml,12
372,전통주,시나브로 에뚜왈 로제 스파클링,대한민국,불휘농장,포도(캠벨얼리),750ml,5
373,전통주,시나브로 로제와인,대한민국,불휘농장,포도(캠벨얼리),500ml,10
374,전통주,시나브로 레드 스위트,대한민국,불휘농장,포도(캠벨얼리),750ml,12
375,전통주,시나브로 드 글로리아,대한민국,불휘농장,포도(캠벨얼리),750ml,12
376,전통주,시나브로 에뚜왈 화이트 스파클링와인,대한민국,불휘농장,국산포도(영동포도),750ml,5
377,전통주,붉은진주머루와인,대한민국,붉은진주,"머루, 정백당, 아황산칼륨, 소르빈산칼륨",750ml,12
378,전통주,베리와인1168 스위트와인,대한민국,블루컴퍼니,포도 87%,500ml,13
379,전통주,왕율주,대한민국,사곡양조원,"국내산 쌀, 밤, 누룩, 정제수",330ml,25
380,전통주,공주애 오디와인,대한민국,사곡양조원,"국내산 오디, 정제수, 주정, 과당, 효모",375ml,15
381,전통주,공주알밤 왕밤주,대한민국,사곡양조장,"공주밤(국내산), 백미(국내산), 아스파탐",750ml,6
382,전통주,진쾌남,대한민국,사곡양조장,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수",330ml,25
383,전통주,밤꽃향기,대한민국,사곡양조장,"국내산 쌀, 밤, 누룩, 정제수",375ml,13.5
384,전통주,소백산(샤토소백) 스위트 레드와인,대한민국,산내들 와이너리,국내산포도 100%,750ml,12
385,전통주,머루이야기,대한민국,산들벗㈜,국내산 머루(전북 무주),350ml,12
386,전통주,산막와이너리 증류주 환희,대한민국,산막 와이너리,국내산 캠벨얼리 100%,375ml,40
387,전통주,"산막와이너리, 초련",대한민국,산막 와이너리,"포도, 아황산칼륨, 백설탕, 증류주",500ml,20
388,전통주,"산막와이너리, 아로퓨어",대한민국,산막와이너리,"아로니아, 아황산칼륨, 백설탕",750ml,13
389,전통주,"산막와이너리, 라라",대한민국,산막와이너리,"포도, 아황산칼륨, 백설탕",750ml,12
390,전통주,"산막와이너리, 비원퓨어",대한민국,산막와이너리,"포도, 아황산칼륨, 백설탕",750ml,13
391,전통주,"산막와이너리, 미",대한민국,산막와이너리,"포도, 아황산칼륨, 백설탕",750ml,13
392,전통주,"산막와이너리, 비원",대한민국,산막와이너리,"포도, 아황산칼륨, 백설탕",750ml,13
393,전통주,"산막와이너리, 화몽",대한민국,산막와이너리,"포도, 아황산칼륨, 백설탕",750ml,13
394,전통주,감악산 산머루주,대한민국,산머루농원,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",360ml,12
395,전통주,무주구천동산머루주,대한민국,산머루농원,머루,"750ml, 360ml",16
396,전통주,너와머루와인,대한민국,산머루농원영농조합법인,국내산 산머루 100%,"500ml, 700ml",12
397,전통주,도로시 머루주,대한민국,산머루농원영농조합법인,"국내산 산머루원액 78.5%, 주정",500ml,12
398,전통주,호모루덴스,대한민국,산수양조장,"쌀, 누룩, 정제수",500ml,12
399,전통주,찹쌀 생막걸리 12도,대한민국,삼산주조장,"찹쌀, 멥쌀, 누룩",750ml,12
400,전통주,찹쌀생막걸리 9도,대한민국,삼산주조장,"찹쌀(해남산), 멥쌀(해남산), 누룩",750ml,9
401,전통주,두륜탁주,대한민국,삼산주조장,"쌀, 밀가루, 누룩, 당귀","1,700ml",6
402,전통주,삼양춘 청주,대한민국,삼양춘,"정제수, 찹쌀, 맵쌀, 누룩",500ml,15
403,전통주,삼양춘 생약주,대한민국,삼양춘,"강화섬쌀, 전통누룩, 정제수",500ml,15
404,전통주,삼양춘 스파클링,대한민국,삼양춘,"정제수, 쌀(국내산), 전통누룩(밀), 탄산가스, 효모, 정제효소제",500ml,13
405,전통주,오 마이 갓,대한민국,삼양춘,"정제수, 쌀(국내산), 입국, 전통누룩(밀), 백설탕, 백목련꽃잎, 효모",500ml,14
406,전통주,엄청주,대한민국,삼오식품,"엄나무(국내산), 천일염, 토종꿀(국내산), 정제수",360ml,18
407,전통주,도갓집 막걸리,대한민국,삼호주조장,"정제수, 쌀(국내산), 국(국내산), 물엿, 누룩(밀함유), 효모, 아세설팜칼륨(감미료)",750ml,6
408,전통주,너브내 로제 스파클링,대한민국,샤또나드리,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",750ml,12
409,전통주,너브내 스파클링 화이트,대한민국,샤또나드리,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",750ml,12
410,전통주,서울골드,대한민국,서울양조장,"멥쌀, 찹쌀, 누룩, 정제수",500ml,15
411,전통주,인생막걸리,대한민국,서울장수㈜,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨",750ml,5
412,전통주,장홍삼 장수 막걸리,대한민국,서울장수㈜,"백미,말토올리고당,홍삼분말",750ml,6
413,전통주,월매 쌀막걸리(캔),대한민국,서울장수㈜,"백미, 말토올리고당, 정제수",350ml,6
414,전통주,장수 생막걸리,대한민국,서울장수주식회사,"백미(국내산), 말토올리고당, 홍삼분말",750ml,6
415,전통주,단홍,대한민국,서울효모방,"정제수, 찹쌀(국내산), 개량누룩, 효모, 유산균, 라즈베리(폴란드산), 히비스커스, 화자오, 비트(국내산), 우뭇가사리",500ml,13.5
416,전통주,온섶,대한민국,서울효모방,"정제수, 찹쌀(국내산), 개량누룩, 효모, 유산균, 계피, 생강, 감초, 넛맥, 파인애플(외국산)",500ml,12.8
417,전통주,석로주,대한민국,석이원주조,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수",720ml,13
418,전통주,벗이랑 강황,대한민국,석이원주조,"쌀(국내산), 정제수, 강황(국내산), 프락토올리고당(국내산)",500ml,15
419,전통주,벗이랑 버찌 홍국,대한민국,석이원주조,"쌀(국내산), 정제수, 버찌;(국내산), 홍국쌀(국내산), 프락토올리고당(국내산)",500ml,15
420,전통주,벗이랑 조릿대 산죽,대한민국,석이원주조,"쌀(국내산), 정제수, 고려조릿대(국내산), 프락토올리고당(국내산)",500ml,15
421,전통주,자자헌주,대한민국,석이원주조,"정제수, 멥쌀(국내산), 석이버섯약재추출물(국내산), 누룩(밀함유), 효모",500ml,13
422,전통주,독도소주,대한민국,설악프로방스배꽃마을,"쌀 증류주 원액, 해양심층수, 주정, 에리스리톨, 결정과당, 고과당, 효소처리스테비아",375ml,17.3
423,전통주,동해소주,대한민국,설악프로방스배꽃마을,"쌀 증류주, 해양 심층수, 주정, 에리스리톨, 결정과당, 고과당, 효소처리스테비아",360ml,17.5
424,전통주,행운 생유자 동동주,대한민국,성포양조장,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐","750ml, 1700ml",6
425,전통주,성포 생막걸리,대한민국,성포양조장,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",750ml,6
426,전통주,팔공산미나리 생막걸리,대한민국,성포양조장,"쌀, 소맥분, 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐, 밀 함유",750ml,6
427,전통주,소계리 595 스위트 레드와인,대한민국,소계리 와이너리,"포도(국내산), 설탕, 효모, 메타중아황산칼륨",750ml,12
428,전통주,소양강 생 막걸리,대한민국,"소양강도가(구, 천정양조장)","백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수",750ml/ 1700ml,6
429,전통주,자연송이주,대한민국,솔래원,자연송이버섯,720ml,18
430,전통주,설궁,대한민국,솔래원,"자연산 송이버섯, 산양산삼, 토종벌꿀",700ml,30
431,전통주,솔송주,대한민국,솔송주,"백미(국내산) 90%, 솔잎·송순(국내산) 10%",375ml,13
432,전통주,명가원 복분자술,대한민국,솔송주,"복분자(37.65%), 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕",750ml,16
433,전통주,녹파주,대한민국,솔송주(명가원),"국내산 찹쌀, 멥쌀, 누룩, 정제수",375ml,15
434,전통주,담솔,대한민국,솔송주(명가원),"백미(함양산) 90%, 솔잎·송순(함양산) 10%","500ml, 750ml",40
435,전통주,삼양춘 생탁주,대한민국,송도향전통주조,"강화섬쌀, 전통누룩, 정제수",500ml,12.5
436,전통주,송로주,대한민국,송로주,"멥쌀, 솔옹이, 솔잎, 복령",700ml,48
437,전통주,송화백일주,대한민국,송화양조원,"송화, 솔잎, 산수유, 오미자, 구기자",700ml,38
438,전통주,산머루 크라테 로제,대한민국,수도산와이너리,산머루,375ml,11.5
439,전통주,산머루 크라테 드라이,대한민국,수도산와이너리,산머루,750ml,11.5
440,전통주,산머루 크라테 스위트,대한민국,수도산와이너리,산머리(국내산),750ml,11.5
441,전통주,크라테 자두와인,대한민국,수도산와이너리,"자두(국내산) 95.97%, 효모, 설탕, 메타중아황산칼륨(산화방지제)",375ml,8.5
442,전통주,크라테 미디엄드라이,대한민국,수도산와이너리,산머루(100%),750ml,11.5
443,전통주,크라테 화이트스위트,대한민국,수도산와이너리,청수(100%),375ml,11.5
444,전통주,왕매실 막걸리,대한민국,순성왕매실영농조합,"국내산쌀, 매실원액1%",750ml,6
445,전통주,성읍민속마을 오메기술,대한민국,술다끄는집,"좁쌀, 누룩",375ml,12
446,전통주,바텐더의막걸리,대한민국,술담화,"정제수, 멥쌀, 국, 효모, 기타과당, 물엿, 구연산, 아스파탐",500ml,14
447,전통주,맑은바당,대한민국,술도가 제주바당,"쌀(국내산), 국(밀누룩)",375ml,15
448,전통주,제주낭만,대한민국,술도가제주바당,"쌀, 백도라지",500ml,40
449,전통주,키위술,대한민국,술도가제주바당,"그린키위, 골드키위",500ml,40
450,전통주,메밀이슬,대한민국,술도가제주바당,"메밀(제주산), 입국(국내산), 효모, 정제수",500ml,40
451,전통주,사십오도,대한민국,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",250ml,45
452,전통주,입술,대한민국,술빚는전가네,"쌀 효모, 젖산, 옥분, 억새어린순, 야관문, 정제수",250ml,40
453,전통주,주홍춘,대한민국,술빚는전가네,"포천쌀, 흑미찹쌀, 전가네이화곡, 연잎, 정제수",350ml,10
454,전통주,육십일도,대한민국,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",250ml,61
455,전통주,그리움,대한민국,술샘,"국내산 쌀, 누룩, 효모, 정제수",700ml,14
456,전통주,아임프리,대한민국,술샘,"정제수, 쌀, 국, 효모",500ml,9
457,전통주,꿀샘 16,대한민국,술샘,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산",375ml,16
458,전통주,술샘19,대한민국,술샘,"주정, 증류식소주, 정백당, 생강, 강황(국내산)",375ml,19
459,전통주,술샘16,대한민국,술샘,"쌀(국내산), 오미자(국내산), 주정, 정백당",375ml,16
460,전통주,미르,대한민국,술샘,"쌀, 정제수",375ml,25
461,전통주,감사블루,대한민국,술샘,"쌀(국내산 경기미 100%), 누룩, 효모, 정제수",375ml,14
462,전통주,감사,대한민국,술샘,"쌀(국내산 경기미 100%), 누룩, 정제수",375ml,14
463,전통주,붉은 원숭이,대한민국,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",375ml,10.8
464,전통주,술취한 원숭이,대한민국,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",375ml,10.8
465,전통주,빡치주,대한민국,술샘,"증류원액(쌀 국내산 100%), 정제수",375ml,25
466,전통주,서설,대한민국,술샘,"쌀(국내산 경기미), 쌀누룩(국내산 경기미 조제종국)주정, 설탕, 구연산, 효모, 정제수",375ml,13
467,전통주,볼빨간미자,대한민국,술샘,"물, 주정, 정백당, 오미자(국내산)",375ml,16
468,전통주,아임프리6.0,대한민국,술샘,"정제수, 쌀(국내산, 경기미), 국(쌀누룩 국내산), 오미자, 효모",500ml,6
469,전통주,이화주(술샘),대한민국,술샘,"쌀(국내산 경기미 100%), 누룩, 정제수",100,8
470,전통주,술아 핸드메이드 막걸리,대한민국,술아원,"국내산 찹쌀, 누룩, 정제수",450ml,8
471,전통주,복단지,대한민국,술아원,"쌀(경기미),누룩(국내산),정제수,복분자(국내산)",350ml,14
472,전통주,경성과하주,대한민국,술아원,"찹쌀(여주산),누룩(국내산),정제수,쌀증류원액(경기미)",375ml,20
473,전통주,술아 순곡주,대한민국,술아원,"국내산 찹쌀, 누룩, 증류주, 정제수",375ml,20
474,전통주,술아 국화주,대한민국,술아원,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",375ml,15
475,전통주,술아 연화주,대한민국,술아원,"국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수",375ml,15
476,전통주,술아 매화주,대한민국,술아원,"찹쌀(여주산),누룩(국내산),정제수,주정,매화꽃",375ml,15
477,전통주,필,대한민국,술아원,"고구마증류원액(고구마여주산100%),정제수",375ml,25
478,전통주,복단지 350,대한민국,술아원,"쌀(경기미), 정제수, 복분자(국내산), 누룩(국내산 밀 함유)",350ml,14
479,전통주,PS 애플시드르,대한민국,시나브로 와이너리,"사과, 정제수, 백설탕, 탄산가스, 효모, 메타중아황산칼륨, 소브산칼륨, 아황산함유",750ml,5
480,전통주,미상25,대한민국,시트러스,"감귤(제주산)증류주원액, 정제수, 스테비올배당제",350ml,25
481,전통주,귀감,대한민국,시트러스,"제주산 감귤과즙, 백설탕, 액상효모, 스테비올배당체, 무수아황산",350ml,25
482,전통주,신례명주,대한민국,시트러스,"제주산감귤, 감귤 증류주",750ml,50
483,전통주,말이야 막걸리야,대한민국,시향가,"건조토란(국내산), 쌀(국내산), 정제수, 젖산(산도조절제), 효모","200ml, 3000ml",6
484,전통주,시향가 미니캔막걸리,대한민국,시향가주식회사,"물, 쌀, 건조토란, 젖산, 누룩, 효모, 정제효소제",200ml,8
