,주종,상품명,생산국가,제조사,주원료,용량,도수
112,전통주,노미,대한민국,내촌주조,"국내산 찹쌀, 국내산 쌀",700ml,18
113,전통주,너브내스파클링사과와인,대한민국,너브내와이너리,"사과, 배, 효모, 설탕, 아황산, 수크랄로스, 자일리톨",375ml,8.5
114,전통주,끌로너와 스위트와인,대한민국,너와마을영동조합,머루,750ml,12
115,전통주,일지춘,대한민국,노금주가,"철원오대쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀), 정제수","375ml, 500ml",15
116,전통주,고흥유자주 봄에디션,대한민국,녹동양조장,"쌀, 입국, 누룩, 유자, 원당",500ml,8
117,전통주,녹천 소곡화주 500ml,대한민국,녹천주조장,"찹쌀, 누룩, 백미, 정제수",500ml,41
118,전통주,녹천 소곡화주 480ml,대한민국,녹천주조장,"찹쌀, 누룩, 백미 , 정제수",480ml,41
119,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,38
120,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",750ml,12
121,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,15
122,전통주,달 1614 스위트와인,대한민국,농업회사 덕유,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",750ml,12
123,전통주,달홀진주25,대한민국,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,25
124,전통주,달홀진주40,대한민국,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,40
125,전통주,주향아라,대한민국,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,55
126,전통주,주향담을,대한민국,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,41
127,전통주,예화,대한민국,농업회사법인 대윤가야곡주조㈜,"쌀, 누룩, 효모, 물엿, 정제수",750ml,13
128,전통주,오목대,대한민국,농업회사법인 동문거리양조장㈜,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수","1,000ml",5
129,전통주,삼선,대한민국,농업회사법인 두루㈜,"국내산쌀, 누룩, 정제수",500ml,10
130,전통주,고타다이브,대한민국,농업회사법인 두루㈜,"물, 쌀(국내산), 국, 효모 밀함유",730ml,6
131,전통주,맑은내일 유자,대한민국,농업회사법인 맑은내일 주식회사,"정제수, 쌀, 입국[쌀], 주정, 유자과즙, 기타과당, 누룩[밀], 효모, 아밀라아제",735ml,7
132,전통주,밤빛머루,대한민국,농업회사법인 산들벗㈜,무주 머루,360ml,16.9
133,전통주,오롯이 복숭아,대한민국,농업회사법인 솔티마을,"복숭아(국내산) 68%, 설탕, 효모, 이산화탄소, 구연산",375ml,9
134,전통주,우주멜론미 스파클링 막걸리,대한민국,농업회사법인 시향가㈜,"정제수, 멥쌀, 찹쌀, 멜론과즙, 누룩, 설탕, 밀함유",300ml,5
135,전통주,시향가,대한민국,농업회사법인 시향가㈜,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀",500ml,8
136,전통주,산막 생유 막걸리,대한민국,농업회사법인 신탄진주조㈜,"국내산 쌀, 소맥분, 종국, 효모",750ml,6
137,전통주,하타,대한민국,농업회사법인 신탄진주조㈜,"쌀, 쌀입국, 효모, 정제수",500ml,16
138,전통주,겨울소주45,대한민국,농업회사법인 아리랑주조㈜,"증류원액[쌀(국내산), 국, 효모, 효소] 100%",360ml,45
139,전통주,연천 연주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 정제수",500ml,12
140,전통주,연천 우주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 효모, 효소, 연천율무, 정제수",360ml,22
141,전통주,연천 아주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 정제수",750ml,8
142,전통주,율무 동동주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",750ml,14
143,전통주,김유정역,대한민국,농업회사법인 예술,"쌀, 정제수, 밀누룩",300ml,6
144,전통주,오매백주,대한민국,농업회사법인 오산양조㈜,"쌀(국내산), 국, 효모, 정제수",500ml,12
145,전통주,오산막걸리,대한민국,농업회사법인 오산양조㈜,"쌀(국내산), 국, 효모, 정제수",500ml,6
146,전통주,맑은내일 Winery 단감명작,대한민국,농업회사법인 우포의아침 주식회사,"단감, 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산화방지제), 소브산(보존료)",750ml,7
147,전통주,맑은내일 스파클링막걸리 Signature,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 맵쌀(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",970ml,6
148,전통주,맑은내일 발효막걸리 Signature,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료/페닐알라닌함유), 밀함유",930ml,6.5
149,전통주,사화정미소,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 찹쌀(국내산), 맵쌀(국내산), 쌀입국, 누룩, 효모, 정제효소, 밀함유",480ml,12
150,전통주,조선주조사,대한민국,농업회사법인 우포의아침 주식회사,"쌀(국내산), 입국, 누룩, 주정, 정제수","300ml, 700ml",14
151,전통주,여유25,대한민국,농업회사법인 유한회사 양촌양조,"증류원액(쌀 국내산 100%), 정제수",375ml,25
152,전통주,여유소주19,대한민국,농업회사법인 유한회사 양촌양조,"증류원액(쌀: 국내산100%), 정제수",375ml,19
153,전통주,이상헌 소주,대한민국,농업회사법인 이가수불㈜,증류소주원액,500ml,52
154,전통주,다랭이팜 유자 막걸리,대한민국,농업회사법인 주식회사 다랭이팜,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",750ml,6
155,전통주,다랭이팜 생막걸리,대한민국,농업회사법인 주식회사 다랭이팜,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",750ml,6
156,전통주,감천막걸리,대한민국,농업회사법인 주식회사 벗드림,"정제수, 멥쌀(국내산), 누룩, 효모, 밀함유",750ml,6
157,전통주,화전일취 15,대한민국,농업회사법인 주식회사 지시울,찹쌀(국내산) 멥쌀(국내산) 전통누룩(국내산 밀) 정제수,500ml,15
158,전통주,선비 진,대한민국,농업회사법인 토끼소주㈜,"진증류원액, 찹쌀(국내산), 감귤(국내산)",375ml,48
159,전통주,선비 보드카,대한민국,농업회사법인 토끼소주㈜,"정제수, 주정, 쌀증류식소주원액",750ml,40
160,전통주,토끼 소주,대한민국,농업회사법인 토끼소주㈜,"정제수, 찹쌀, 누룩, 효모, 효소제\\",375ml,23
161,전통주,냥이탁주 화이트,대한민국,농업회사법인 행주산성주가,"정제수, 쌀, 누룩, 밀함유",350ml,10.5
162,전통주,지리산 강쇠,대한민국,농업회사법인(유)술소리,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",375ml,13
163,전통주,주몽복분자주,대한민국,농업회사법인(유)술소리,"국내산 쌀, 국내산 복분자",375ml,16
164,전통주,황진이주,대한민국,농업회사법인(유)술소리,"국내산 오미자, 국내산 산수유",375ml,13
165,전통주,천마이야기 막걸리,대한민국,농업회사법인산들벗㈜,"팽화미, 입국미, 무주천마분말, 오미자추출액",750ml,6
166,전통주,블루베리 이야기,대한민국,농업회사법인산들벗㈜,"국내산 산머루 50%, 블루베리 50%",375ml,12
167,전통주,오마이갓스파클링,대한민국,농업회사법인송도향(유),"정제수, 목련발효청, 쌀, 입국, 쌀보리, 고구마, 탄산가스, 누룩, 효모, 정제효소",500ml,9
168,전통주,송도막걸리,대한민국,농업회사법인송도향(유),"정제수, 쌀(국내산), 쌀보리(국내산), 고구마(국내산), 레몬, 자일리톨, 종국, 효모, 정제효소",700ml,6
169,전통주,도원결의,대한민국,농업회사법인영덕주조,"정제수, 쌀, 복숭아, 조효소제, 효모, 젖산, 정제효소제, 효소처리스테비아, 구연산, 복숭아향",375ml,15
170,전통주,해방주,대한민국,농업회사법인영덕주조,해방풍연한잎(국내산),375ml,18.8
171,전통주,대대포 막걸리,대한민국,농업회사법인㈜담양죽향도가,"쌀, 벌꿀, 정제수, 정제효소, 스테비올배당체, 젖산, 종국, 효모",750ml,6
172,전통주,도깨비술 11,대한민국,농업회사법인㈜도깨비양조장,"정제수, 쌀, 국,효모",750ml,11
173,전통주,애석,대한민국,농업회사법인㈜두루,"국내산쌀, 누룩, 정제수",500ml,15
174,전통주,진맥소주 22%,대한민국,농업회사법인㈜밀과노닐다,유기농 우리밀 100%,375ml,22
175,전통주,볼빨간막걸리 10,대한민국,농업회사법인㈜벗드림,"찹쌀(국내산), 누룩, 정제수",500ml,10
176,전통주,봉하쌀 생막걸리,대한민국,농업회사법인㈜봉하마을,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",750ml,6
177,전통주,붉은진주 머루와인 드라이,대한민국,농업회사법인㈜붉은진주,"머루(99.965%), 무수아황산(산화방지제) 0.035%",750ml,12
178,전통주,붉은진주 머루와인 스위트,대한민국,농업회사법인㈜붉은진주,"머루.(91.445%), 백설탕 (8.5%), 무수아황산(산화방지제) (0.035%), 소르빈산(보존료) (0.02%)",750ml,12
179,전통주,백자주,대한민국,농업회사법인㈜산수,"국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",500ml,10
180,전통주,동정춘,대한민국,농업회사법인㈜산수,"쌀, 누룩, 정제수",500ml,8
181,전통주,백이주,대한민국,농업회사법인㈜세찬,"쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",800ml,35
182,전통주,당당하리,대한민국,농업회사법인㈜세찬,"쌀(국산), 홍마늘(국산), 감초(국산), 효모, 개량누룩, 정제효소제, 정제수, 복분자(국산), 설탕, 올리고당, DL-사과산, 구연산, 무수이황산",375ml,15
183,전통주,명가원 산머루주,대한민국,농업회사법인㈜솔송주,"머루(국내산)49.22%, 정제수, 주정(45%), 설탕, 액상과당, 효모, 구연산, 호박산",750ml,16
184,전통주,청주신선주탁주,대한민국,농업회사법인㈜신선,"청원생명쌀(청주산), 정제수, 찹쌀(국내산), 전통누룩(국내산)(밀함유), 약재(국화, 쇠무릅, 당귀, 하수오, 구기자, 맥문동, 인삼, 육계(계피), 숙지황, 생지황)",500ml,10
185,전통주,죽향 생 막걸리,대한민국,농업회사법인㈜죽향도가,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",750ml,6
186,전통주,담향 대대포 블루,대한민국,농업회사법인㈜죽향도가,"백미(국내산, 무기농 무농약), 벌꿀(국내산), 정제수",600ml,6
187,전통주,밀담40,대한민국,농업회사법인㈜착한농부,"단수수(국내산)증류원액, 정제수",360ml,40
188,전통주,예천주복 만월24,대한민국,농업회사법인㈜착한농부,"복분자(국내산)증류원액, 복분자(국내산)과즙, 정제수",350ml,40
189,전통주,예천주 사월365,대한민국,농업회사법인㈜착한농부,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",375ml,36.5
190,전통주,예천주 사월24,대한민국,농업회사법인㈜착한농부,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",375ml,24
191,전통주,착한농부 막시모 25,대한민국,농업회사법인㈜착한농부,"단수수(국내산)증류원액, 주정, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 캬라멜, 정제수",360ml,25
192,전통주,착한농부 막시모 17,대한민국,농업회사법인㈜착한농부,"단수수(국내산)증류원액, 주정, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 캬라멜, 정제수",360ml,17
193,전통주,착한농부 막시모파인오크 40,대한민국,농업회사법인㈜착한농부,"단수수(국내산)증류원액, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 정제수",200ml,40
194,전통주,진안블랙,대한민국,농업회사법인㈜태평주가,"팽화미, 블랙보리, 누룩, 수삼, 홍삼농축액, 보리침출 주정(이상 국내산), 효모, 정제수",500ml,40
195,전통주,북한강25,대한민국,농업회사법인㈜화천주가,"쌀(화천군), 누룩(국내산), 효모(토종), 정제수 [밀(곡류)함유]",375ml,25
196,전통주,화천용화산,대한민국,농업회사법인㈜화천주가,"정제수,쌀(화천군),곡자(밀/국내산),이소말토올리고당,효모, 정제효소제 밀함유",750ml,10
197,전통주,라봉,대한민국,다도참주가,"물, 쌀(국내산), 한라봉(국내산), 올리고당, 누룩, 아스파탐(감미료, 페닐알라닌함유),",650ml,5.5
198,전통주,딸링 막걸리,대한민국,다도참주가,"물, 쌀, 올리고당, 딸기, 누룩, 조제종국, 효모, 아스파탐(감미료, 페닐알라닌 함유)",650ml,5.5
199,전통주,참주가 솔 막걸리,대한민국,다도참주가,"물, 쌀(국내산), 솔잎(국내산), 당귀(국내산), 한라봉(국내산), 누룩, 올리고당, 아스파탐(감미료, 페닐알라닌함유), 조제종국, 효모 밀,우유함유",650ml,5.5
200,전통주,오곡 진상주,대한민국,대강양조장,"쌀, 밀, 보리, 옥수수, 조 등",750ml,7
201,전통주,호담 300ml,대한민국,대농바이오우리산삼,"산양산삼, 정제수, 주정",300ml,20
202,전통주,산삼가득 명술,대한민국,대농바이오우리산삼,"국내산 주정, 국내산 산양산삼 5년근",375ml,20
203,전통주,만품 산삼가득,대한민국,대농바이오우리산삼,"국내산쌀(경기미), 국내 산양산삼",350ml,13
204,전통주,호담 산양산삼 막걸리,대한민국,대농바이오우리산삼,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",750ml,6
205,전통주,"진도홍주, 만홍",대한민국,대대로영농조합법인,"국내산 쌀, 국내산 지초","400ml, 500ml",40
206,전통주,진도홍주 루비콘,대한민국,대대로영농조합법인,"쌀, 누룩, 지초, 정제수",375ml,40
207,전통주,"진도홍주 아라리35%, 루비콘40%",대한민국,대대로영농조합법인,"국내산 쌀, 국내산 지초","375ml, 500ml, 700ml",35
208,전통주,명품홍주,대한민국,대대로영농조합법인,"쌀, 지초",375ml,38
209,전통주,진도 백주,대한민국,대대로영농조합법인,"쌀(국내산)100%, 정제수, 조제종국, 효모, 지초(국내산), 올리고당, 구연산, 알라닌",375ml,38
210,전통주,대윤 가야곡 왕주,대한민국,대윤가야곡주조,"쌀, 누룩, 효모, 물엿, 정제수",300ml,13
211,전통주,모을동주 약주,대한민국,대작영농조합법인,"쌀(국내산), 조제종국 효모, 정제효소, 정제수",375ml,13
212,전통주,멜론서리,대한민국,댄싱사이더 컴퍼니,"사과즙(국산), 멜론과즙(국산), 정제수, 건조녹차(국산), 탄산가스, 페퍼민트티, 사과산(산도조절제), 구연산(산도조절제), 효모, 메타중아황산칼륨, 멜론항아황산류함유",330ml,5
213,전통주,신애유자,대한민국,댄싱사이더 컴퍼니,"사과즙(국산), 정제수, 벌꿀(국산), 생강즙(국산), 유자과즙(국산), 탄산가스, 로즈마리티, 사과산(산도조절제), 구연산(산도조절제), 천일염, 메타중아황산칼륨, 효모아황산류","330ml, 750ml",5
214,전통주,루드베리,대한민국,댄싱사이더 컴퍼니,"사과즙(국산), 정제수, 딸기퓌레(국산), 건조레몬그라스(국산), 탄산가스, 동결건조딸기분말(국산), 바질잎, 사과산(산도조절제), 효모, 메타중아황산칼륨(산화방지제), 아황산류함유",750ml,4.5
215,전통주,요새로제,대한민국,댄싱사이더 컴퍼니,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",750ml,6.4
216,전통주,댄싱사이더 치키피치,대한민국,댄싱사이더 컴퍼니,"사과즙, 정제수, 복숭아즙, 벌꿀, 복숭아티, 사과산, 구연산, 효모, 메타중아황산칼륨, 아황산류 함유",330ml,4.6
217,전통주,문앞에봄,대한민국,댄싱사이더 컴퍼니,"사과산,바질잎,동결건조딸기분말,이산화탄소,사과즙,정제수,딸기퓌레,설탕,건조레몬그라스,효모,메타중아황산칼륨",750ml,4.5
218,전통주,원매,대한민국,더한주류,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",750ml,15
219,전통주,서울의 밤,대한민국,더한주류,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",375ml,25
220,전통주,매실원주 허니,대한민국,더한주류,"국내산 황매  80%, 청매20%",300ml,13
221,전통주,원매 프리미엄,대한민국,더한주류,국내산 황매실,700ml,20
222,전통주,천매,대한민국,더한주류,매실,600ml,30
223,전통주,명랑 스컬,대한민국,더한주류,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",375ml,17
224,전통주,원매,대한민국,더한주류,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",750ml,20
225,전통주,무주구천동머루와인,대한민국,덕유양조,머루,750ml,12
226,전통주,도깨비술 7,대한민국,도깨비양조장,"국내산 멥쌀, 누룩, 효모, 정제수",750ml,7
227,전통주,도깨비술 9,대한민국,도깨비양조장,"국내산 멥쌀, 누룩, 효모, 정제수",750ml,9
228,전통주,샤토미소 랑,대한민국,도란원,청수,375ml,12
229,전통주,샤토미소 레드 드라이,대한민국,도란원,"MBA, 산머루, 캠벨 얼리",750ml,13
230,전통주,샤토미소 레드 스위트,대한민국,도란원,"포도, 산화방지제, 효모, 설탕 등",750ml,12
231,전통주,샤토미소 로제스위트와인,대한민국,도란원,국내산 포도원액,375ml,12
232,전통주,샤토미소 영동,대한민국,도란원,포도,200ml,40
233,전통주,미소 아이스,대한민국,도란원,"포도, 산화방지제, 효모",375ml,12
234,전통주,샤토미소 아이스와인,대한민국,도란원,"포도(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 효모",375ml,12
235,전통주,샤토미소 웨딩 자두와인,대한민국,도란원,"자두(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 설탕, 효모","375ml, 750ml",12
236,전통주,DOK막걸리,대한민국,독브루어리,"정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모","1,000ml",6
237,전통주,레드듀 RED DEW,대한민국,동강산머루영농조합법인,무농약머루,750ml,13
238,전통주,얼떨결에,대한민국,동강주조,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",920ml,6
239,전통주,얼떨결에 퍼플,대한민국,동강주조,"쌀(국내산), 찰보리쌀(국내산), 포도즙(국내산), 정제수, 정제효소, 효모, 젖산(산도조절제), 기타과당, 곡자(밀), 밀함유",935ml,6
240,전통주,부안참뽕막걸리,대한민국,동진주조,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",950ml,6
